ALPN,Health Care,Major Pharmaceuticals,83.57,4.3,5.9,0.728874,11,211.9,100,-0.38,-0.57,-0.88,-0.8,-0.7,\N,35,\N,2019-07-05 17:27:34
AMR,Energy,Oil & Gas Production,59.04,0.151,0.471,0.320756,3,\N,20,\N,\N,\N,\N,\N,\N,35,\N,\N
AABA,Technology,EDP Services,35660,70.26,69.201,1.0153,53,109.72,99,-0.1,-0.46,0.17,0.17,0.1,0.31746,83,\N,2019-07-05 17:28:23
ALTR,Technology,Computer Software: Prepackaged Software,2760,41.57,35.516,1.17047,89,7,88,0.05,0.02,0.1,-0.15,0.17,0.375,84,\N,2019-07-05 17:28:52
ATHE,Health Care,Major Pharmaceuticals,18.36,1.3,1.626,0.799643,15,\N,20,\N,\N,\N,\N,\N,\N,35,\N,\N
ALT,Health Care,Major Pharmaceuticals,29.46,2.42,2.791,0.867087,22,3.05,69,-7.5,-10.2,-1.73,-2.79,-0.27,\N,35,\N,2019-07-05 17:29:15
ASPS,Consumer Services,Other Consumer Services,301.16,21.92,23.125,0.947881,34,0.43,33,-0.24,0.09,0.49,-0.69,-0.2,0.0338983,69,\N,2019-07-05 17:29:37
AIMC,Capital Goods,Industrial Machinery/Components,2260,34.25,32.347,1.05882,67,1.56,55,0.31,0.65,0.42,-0.08,0.55,0.328767,83,\N,2019-07-05 17:30:02
ALTM,Public Utilities,Natural Gas Distribution,1190,3.66,6.13,0.597101,7,12.72,94,0.02,0.01,-0.09,-0.01,0.01,-0.0909091,61,\N,2019-07-05 17:30:19
AMAG,Health Care,Major Pharmaceuticals,299.51,10,12.783,0.782309,14,0.78,41,-1.59,-0.58,0.89,-0.64,-3.54,-0.440181,49,\N,2019-07-05 17:30:41
AMAL,Consumer Non-Durables,Textiles,527.41,17.82,17.403,1.02398,56,\N,20,\N,\N,\N,\N,\N,\N,35,\N,\N
AMRN,Health Care,Major Pharmaceuticals,6010,23.16,18.181,1.27387,95,28.98,98,-0.08,-0.12,-0.08,-0.11,-0.07,\N,35,\N,2019-07-05 17:31:32
AMRK,Basic Industries,Other Specialty Stores,93.94,12.81,12.303,1.04118,62,\N,20,\N,\N,\N,\N,\N,\N,35,\N,\N
AMZN,Consumer Services,Catalog/Specialty Distribution,924730,1942.91,1763.92,1.10147,78,3.95,76,3.27,5.07,5.75,6.04,7.09,1,100,\N,2019-07-05 17:32:15
AMBC,Finance,Property-Casualty Insurers,769.3,17.08,18.014,0.948161,34,1.73,57,6.7,0.09,-2.27,-0.45,-0.94,-0.851728,41,\N,2019-07-05 17:32:33
AMBA,Technology,Semiconductors,1440,44.5,42.137,1.05609,67,6.68,87,-0.3,-0.21,-0.28,-0.14,-0.53,\N,35,\N,2019-07-05 17:32:52
AMCX,Consumer Services,Television Services,3080,56.16,58.677,0.957102,36,1.05,47,2.54,1.82,1.93,1.24,2.48,-0.0461538,63,\N,2019-07-05 17:33:10
AMCI,Finance,Business Services,274,9.94,8.588,1.15744,88,\N,20,\N,\N,\N,\N,\N,\N,35,\N,\N
DOX,Technology,EDP Services,8520,62.84,57.192,1.09875,77,2.12,61,0.7,0.64,0.31,0.72,0.9,0.338983,83,\N,2019-07-05 17:33:34
AMED,Health Care,Medical/Nursing Services,3890,122.01,121.813,1.00161,47,2.25,62,0.79,0.98,0.96,0.84,0.95,0.842105,95,\N,2019-07-05 17:33:51
AMTB,Finance,Major Banks,782,19.39,16.064,1.20707,92,\N,20,\N,\N,\N,\N,\N,\N,35,\N,\N
AMTBB,Finance,Major Banks,606.07,15.48,12.481,1.24033,94,\N,20,\N,\N,\N,\N,\N,\N,35,\N,\N
UHAL,Consumer Services,Rental/Leasing Companies,7420,376.65,371.445,1.01401,52,1.94,59,0.55,6.53,8.35,4.01,0.04,-0.0613718,63,\N,2019-07-05 17:34:59
